Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance
1930,13 Jul 1930 - 15:00 ,Group 1,France,4,1,Mexico,4444
1930,13 Jul 1930 - 15:00 ,Group 4,United States,3,0,Belgium,18346
1930,14 Jul 1930 - 12:45 ,Group 2,Yugoslavia,2,1,Brazil,24059
1930,14 Jul 1930 - 14:50 ,Group 3,Romania,3,1,Peru,2549
1930,15 Jul 1930 - 16:00 ,Group 1,Argentina,1,0,France,23409
1930,16 Jul 1930 - 14:45 ,Group 1,Chile,3,0,Mexico,9249
1930,17 Jul 1930 - 12:45 ,Group 2,Yugoslavia,4,0,Bolivia,18306
1930,17 Jul 1930 - 14:45 ,Group 4,United States,3,0,Paraguay,18306
1930,18 Jul 1930 - 14:30 ,Group 3,Uruguay,1,0,Peru,57735
1930,19 Jul 1930 - 12:50 ,Group 1,Chile,1,0,France,2000
1930,19 Jul 1930 - 15:00 ,Group 1,Argentina,6,3,Mexico,42100
1930,20 Jul 1930 - 13:00 ,Group 2,Brazil,4,0,Bolivia,25466
1930,20 Jul 1930 - 15:00 ,Group 4,Paraguay,1,0,Belgium,12000
1930,21 Jul 1930 - 14:50 ,Group 3,Uruguay,4,0,Romania,70022
1930,22 Jul 1930 - 14:45 ,Group 1,Argentina,3,1,Chile,41459
1930,26 Jul 1930 - 14:45 ,Semi-finals,Argentina,6,1,United States,72886
1930,27 Jul 1930 - 14:45 ,Semi-finals,Uruguay,6,1,Yugoslavia,79867
1930,30 Jul 1930 - 14:15 ,Final,Uruguay,4,2,Argentina,68346
1934,27 May 1934 - 16:30 ,Preliminary round,Austria,3,2,France,16000
1934,27 May 1934 - 16:30 ,Preliminary round,Hungary,4,2,Egypt,9000
1934,27 May 1934 - 16:30 ,Preliminary round,Switzerland,3,2,Netherlands,33000
1934,27 May 1934 - 16:30 ,Preliminary round,Sweden,3,2,Argentina,14000
1934,27 May 1934 - 16:30 ,Preliminary round,Germany,5,2,Belgium,8000
1934,27 May 1934 - 16:30 ,Preliminary round,Spain,3,1,Brazil,21000
1934,27 May 1934 - 16:30 ,Preliminary round,Italy,7,1,United States,25000
1934,27 May 1934 - 16:30 ,Preliminary round,Czechoslovakia,2,1,Romania,9000
1934,31 May 1934 - 16:30 ,Quarter-finals,Czechoslovakia,3,2,Switzerland,12000
1934,31 May 1934 - 16:30 ,Quarter-finals,Germany,2,1,Sweden,3000
1934,31 May 1934 - 16:30 ,Quarter-finals,Italy,1,1,Spain,35000
1934,31 May 1934 - 16:30 ,Quarter-finals,Austria,2,1,Hungary,23000
1934,01 Jun 1934 - 16:30 ,Quarter-finals,Italy,1,0,Spain,43000
1934,03 Jun 1934 - 16:30 ,Semi-finals,Italy,1,0,Austria,35000
1934,03 Jun 1934 - 16:30 ,Semi-finals,Czechoslovakia,3,1,Germany,15000
1934,07 Jun 1934 - 18:00 ,Match for third place,Germany,3,2,Austria,7000
1934,10 Jun 1934 - 17:30 ,Final,Italy,2,1,Czechoslovakia,55000
1938,04 Jun 1938 - 17:00 ,First round,Switzerland,1,1,Germany,27152
1938,05 Jun 1938 - 17:00 ,First round,Hungary,6,0,Dutch East Indies,9000
1938,05 Jun 1938 - 17:00 ,First round,France,3,1,Belgium,30454
1938,05 Jun 1938 - 17:00 ,First round,Cuba,3,3,Romania,7000
1938,05 Jun 1938 - 17:00 ,First round,Italy,2,1,Norway,19000
1938,05 Jun 1938 - 17:30 ,First round,Brazil,6,5,Poland,13452
1938,05 Jun 1938 - 18:30 ,First round,Czechoslovakia,3,0,Netherlands,11000
1938,09 Jun 1938 - 18:00 ,First round,Cuba,2,1,Romania,8000
1938,09 Jun 1938 - 18:00 ,First round,Switzerland,4,2,Germany,20025
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Brazil,1,1,Czechoslovakia,22021
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Hungary,2,0,Switzerland,15000
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Sweden,8,0,Cuba,7000
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Italy,3,1,France,58455
1938,14 Jun 1938 - 18:00 ,Quarter-finals,Brazil,2,1,Czechoslovakia,18141
1938,16 Jun 1938 - 18:00 ,Semi-finals,Hungary,5,1,Sweden,20000
1938,16 Jun 1938 - 18:00 ,Semi-finals,Italy,2,1,Brazil,33000
1938,19 Jun 1938 - 17:00 ,Match for third place,Brazil,4,2,Sweden,12000
1938,19 Jun 1938 - 17:00 ,Final,Italy,4,2,Hungary,45000
1950,24 Jun 1950 - 15:00 ,Group 1,Brazil,4,0,Mexico,81649
1950,25 Jun 1950 - 15:00 ,Group 2,United Kingdom,2,0,Chile,29703
1950,25 Jun 1950 - 15:00 ,Group 2,Spain,3,1,United States,9511
1950,25 Jun 1950 - 15:00 ,Group 3,Sweden,3,2,Italy,36502
1950,25 Jun 1950 - 15:00 ,Group 1,Yugoslavia,3,0,Switzerland,7336
1950,28 Jun 1950 - 15:00 ,Group 1,Brazil,2,2,Switzerland,42032
1950,28 Jun 1950 - 15:00 ,Group 1,Yugoslavia,4,1,Mexico,11078
1950,29 Jun 1950 - 15:00 ,Group 2,Spain,2,0,Chile,19790
1950,29 Jun 1950 - 15:30 ,Group 3,Sweden,2,2,Paraguay,7903
1950,29 Jun 1950 - 15:00 ,Group 2,United States,1,0,United Kingdom,10151
1950,01 Jul 1950 - 15:00 ,Group 1,Brazil,2,0,Yugoslavia,142429
1950,02 Jul 1950 - 15:00 ,Group 2,Spain,1,0,United Kingdom,74462
1950,02 Jul 1950 - 15:00 ,Group 3,Italy,2,0,Paraguay,25811
1950,02 Jul 1950 - 15:00 ,Group 4,Uruguay,8,0,Bolivia,5284
1950,02 Jul 1950 - 15:40 ,Group 1,Switzerland,2,1,Mexico,3580
1950,02 Jul 1950 - 15:00 ,Group 2,Chile,5,2,United States,8501
1950,09 Jul 1950 - 15:00 ,Group 6,Uruguay,2,2,Spain,44802
1950,09 Jul 1950 - 15:00 ,Group 6,Brazil,7,1,Sweden,138886
1950,13 Jul 1950 - 15:00 ,Group 6,Brazil,6,1,Spain,152772
1950,13 Jul 1950 - 15:00 ,Group 6,Uruguay,3,2,Sweden,7987
1950,16 Jul 1950 - 15:00 ,Group 6,Sweden,3,1,Spain,11227
1950,16 Jul 1950 - 15:00 ,Group 6,Uruguay,2,1,Brazil,173850
1954,16 Jun 1954 - 18:00 ,Group 3,Uruguay,2,0,Czechoslovakia,20500
1954,16 Jun 1954 - 18:00 ,Group 3,Austria,1,0,United Kingdom,25000
1954,16 Jun 1954 - 18:00 ,Group 1,Brazil,5,0,Mexico,13470
1954,16 Jun 1954 - 18:00 ,Group 1,Yugoslavia,1,0,France,16000
1954,17 Jun 1954 - 18:00 ,Group 2,Germany,4,1,Turkey,28000
1954,17 Jun 1954 - 18:00 ,Group 2,Hungary,9,0,Korea,13000
1954,17 Jun 1954 - 18:10 ,Group 4,United Kingdom,4,4,Belgium,14000
1954,17 Jun 1954 - 17:50 ,Group 4,Switzerland,2,1,Italy,43000
1954,19 Jun 1954 - 16:50 ,Group 3,Uruguay,7,0,United Kingdom,34000
